M,npr,theta,w_h
5.000000,25.000000,0.689061,0.347242
5.000000,25.100000,0.687821,0.353042
5.000000,25.200000,0.686576,0.358804
5.000000,25.300000,0.685324,0.364528
5.000000,25.400000,0.684068,0.370216
5.000000,25.500000,0.682808,0.375868
5.000000,25.600000,0.681543,0.381486
5.000000,25.700000,0.680275,0.387070
5.000000,25.800000,0.679004,0.392621
5.000000,25.900000,0.677731,0.398141
5.000000,26.000000,0.676455,0.403630
5.000000,26.100000,0.675178,0.409088
5.000000,26.200000,0.673900,0.414518
5.000000,26.300000,0.672620,0.419919
5.000000,26.400000,0.671340,0.425292
5.000000,26.500000,0.670060,0.430638
5.000000,26.600000,0.668780,0.435958
5.000000,26.700000,0.667499,0.441253
5.000000,26.800000,0.666220,0.446523
5.000000,26.900000,0.664941,0.451769
5.000000,27.000000,0.663663,0.456991
5.000000,27.100000,0.662387,0.462190
5.000000,27.200000,0.661111,0.467367
5.000000,27.300000,0.659838,0.472522
5.000000,27.400000,0.658566,0.477656
5.000000,27.500000,0.657296,0.482769
5.000000,27.600000,0.656028,0.487862
5.000000,27.700000,0.654763,0.492936
5.000000,27.800000,0.653499,0.497990
5.000000,27.900000,0.652239,0.503025
5.000000,28.000000,0.650981,0.508043
5.000000,28.100000,0.649725,0.513042
5.000000,28.200000,0.648473,0.518023
5.000000,28.300000,0.647224,0.522988
5.000000,28.400000,0.645977,0.527936
5.000000,28.500000,0.644734,0.532867
5.000000,28.600000,0.643494,0.537783
5.000000,28.700000,0.642258,0.542683
5.000000,28.800000,0.641024,0.547568
5.000000,28.900000,0.639795,0.552437
5.000000,29.000000,0.638569,0.557292
5.000000,29.100000,0.637346,0.562133
5.000000,29.200000,0.636127,0.566960
5.000000,29.300000,0.634912,0.571773
5.000000,29.400000,0.633700,0.576572
5.000000,29.500000,0.632493,0.581358
5.000000,29.600000,0.631289,0.586132
5.000000,29.700000,0.630089,0.590892
5.000000,29.800000,0.628893,0.595640
5.000000,29.900000,0.627701,0.600376
5.000000,30.000000,0.626513,0.605100
5.000000,30.100000,0.625328,0.609813
5.000000,30.200000,0.624148,0.614513
5.000000,30.300000,0.622972,0.619203
5.000000,30.400000,0.621800,0.623881
5.000000,30.500000,0.620632,0.628548
5.000000,30.600000,0.619469,0.633205
5.000000,30.700000,0.618309,0.637851
5.000000,30.800000,0.617154,0.642487
5.000000,30.900000,0.616002,0.647113
5.000000,31.000000,0.614855,0.651729
5.000000,31.100000,0.613712,0.656335
5.000000,31.200000,0.612573,0.660931
5.000000,31.300000,0.611438,0.665518
5.000000,31.400000,0.610308,0.670096
5.000000,31.500000,0.609181,0.674665
5.000000,31.600000,0.608059,0.679224
5.000000,31.700000,0.606941,0.683775
5.000000,31.800000,0.605827,0.688317
5.000000,31.900000,0.604717,0.692851
5.000000,32.000000,0.603612,0.697376
5.000000,32.100000,0.602511,0.701893
5.000000,32.200000,0.601413,0.706402
5.000000,32.300000,0.600320,0.710903
5.000000,32.400000,0.599232,0.715396
5.000000,32.500000,0.598147,0.719881
5.000000,32.600000,0.597066,0.724359
5.000000,32.700000,0.595990,0.728829
5.000000,32.800000,0.594917,0.733292
5.000000,32.900000,0.593849,0.737748
5.000000,33.000000,0.592785,0.742196
5.000000,33.100000,0.591725,0.746638
5.000000,33.200000,0.590669,0.751072
5.000000,33.300000,0.589617,0.755500
5.000000,33.400000,0.588569,0.759921
5.000000,33.500000,0.587525,0.764335
5.000000,33.600000,0.586486,0.768743
5.000000,33.700000,0.585450,0.773145
5.000000,33.800000,0.584418,0.777540
5.000000,33.900000,0.583390,0.781929
5.000000,34.000000,0.582366,0.786312
5.000000,34.100000,0.581347,0.790689
5.000000,34.200000,0.580331,0.795060
5.000000,34.300000,0.579319,0.799425
5.000000,34.400000,0.578311,0.803785
5.000000,34.500000,0.577306,0.808138
5.000000,34.600000,0.576306,0.812486
5.000000,34.700000,0.575310,0.816829
5.000000,34.800000,0.574317,0.821166
5.000000,34.900000,0.573328,0.825498
5.000000,35.000000,0.572343,0.829825
5.000000,35.100000,0.571362,0.834146
5.000000,35.200000,0.570385,0.838463
5.000000,35.300000,0.569411,0.842774
5.000000,35.400000,0.568441,0.847080
5.000000,35.500000,0.567475,0.851382
5.000000,35.600000,0.566512,0.855678
5.000000,35.700000,0.565554,0.859970
5.000000,35.800000,0.564598,0.864258
5.000000,35.900000,0.563647,0.868540
5.000000,36.000000,0.562699,0.872819
5.000000,36.100000,0.561755,0.877092
5.000000,36.200000,0.560814,0.881362
5.000000,36.300000,0.559877,0.885627
5.000000,36.400000,0.558944,0.889887
5.000000,36.500000,0.558014,0.894144
5.000000,36.600000,0.557088,0.898396
5.000000,36.700000,0.556165,0.902645
5.000000,36.800000,0.555246,0.906889
5.000000,36.900000,0.554330,0.911129
5.000000,37.000000,0.553417,0.915366
5.000000,37.100000,0.552509,0.919599
5.000000,37.200000,0.551603,0.923828
5.000000,37.300000,0.550701,0.928053
5.000000,37.400000,0.549802,0.932274
5.000000,37.500000,0.548907,0.936492
5.000000,37.600000,0.548015,0.940706
5.000000,37.700000,0.547126,0.944917
5.000000,37.800000,0.546241,0.949125
5.000000,37.900000,0.545359,0.953329
5.000000,38.000000,0.544480,0.957529
5.000000,38.100000,0.543605,0.961727
5.000000,38.200000,0.542733,0.965921
5.000000,38.300000,0.541864,0.970112
5.000000,38.400000,0.540998,0.974300
5.000000,38.500000,0.540135,0.978485
5.000000,38.600000,0.539276,0.982666
5.000000,38.700000,0.538420,0.986845
5.000000,38.800000,0.537567,0.991021
5.000000,38.900000,0.536717,0.995194
5.000000,39.000000,0.535870,0.999364
5.000000,39.100000,0.535026,1.003531
5.000000,39.200000,0.534186,1.007696
5.000000,39.300000,0.533348,1.011858
5.000000,39.400000,0.532514,1.016017
5.000000,39.500000,0.531682,1.020173
5.000000,39.600000,0.530854,1.024327
5.000000,39.700000,0.530028,1.028479
5.000000,39.800000,0.529206,1.032628
5.000000,39.900000,0.528386,1.036775
5.000000,40.000000,0.527570,1.040919
5.000000,40.100000,0.526756,1.045061
5.000000,40.200000,0.525945,1.049200
5.000000,40.300000,0.525138,1.053337
5.000000,40.400000,0.524333,1.057472
5.000000,40.500000,0.523531,1.061605
5.000000,40.600000,0.522731,1.065736
5.000000,40.700000,0.521935,1.069864
5.000000,40.800000,0.521142,1.073991
5.000000,40.900000,0.520351,1.078115
5.000000,41.000000,0.519563,1.082238
5.000000,41.100000,0.518778,1.086358
5.000000,41.200000,0.517995,1.090477
5.000000,41.300000,0.517216,1.094594
5.000000,41.400000,0.516439,1.098709
5.000000,41.500000,0.515665,1.102822
5.000000,41.600000,0.514893,1.106933
5.000000,41.700000,0.514124,1.111043
5.000000,41.800000,0.513358,1.115151
5.000000,41.900000,0.512595,1.119257
5.000000,42.000000,0.511834,1.123362
5.000000,42.100000,0.511076,1.127465
5.000000,42.200000,0.510320,1.131566
5.000000,42.300000,0.509567,1.135666
5.000000,42.400000,0.508817,1.139765
5.000000,42.500000,0.508069,1.143862
5.000000,42.600000,0.507324,1.147957
5.000000,42.700000,0.506581,1.152052
5.000000,42.800000,0.505841,1.156145
5.000000,42.900000,0.505103,1.160236
5.000000,43.000000,0.504368,1.164327
5.000000,43.100000,0.503635,1.168416
5.000000,43.200000,0.502905,1.172504
5.000000,43.300000,0.502177,1.176590
5.000000,43.400000,0.501452,1.180676
5.000000,43.500000,0.500729,1.184760
5.000000,43.600000,0.500009,1.188844
5.000000,43.700000,0.499291,1.192926
5.000000,43.800000,0.498575,1.197007
5.000000,43.900000,0.497862,1.201088
5.000000,44.000000,0.497151,1.205167
5.000000,44.100000,0.496443,1.209246
5.000000,44.200000,0.495736,1.213323
5.000000,44.300000,0.495033,1.217400
5.000000,44.400000,0.494331,1.221475
5.000000,44.500000,0.493632,1.225550
5.000000,44.600000,0.492935,1.229625
5.000000,44.700000,0.492241,1.233698
5.000000,44.800000,0.491548,1.237771
5.000000,44.900000,0.490858,1.241843
5.000000,45.000000,0.490170,1.245914
5.000000,45.100000,0.489485,1.249985
5.000000,45.200000,0.488801,1.254055
5.000000,45.300000,0.488120,1.258125
5.000000,45.400000,0.487441,1.262194
5.000000,45.500000,0.486765,1.266262
5.000000,45.600000,0.486090,1.270330
5.000000,45.700000,0.485418,1.274398
5.000000,45.800000,0.484747,1.278465
5.000000,45.900000,0.484079,1.282532
5.000000,46.000000,0.483413,1.286598
5.000000,46.100000,0.482749,1.290664
5.000000,46.200000,0.482088,1.294729
5.000000,46.300000,0.481428,1.298795
5.000000,46.400000,0.480770,1.302860
5.000000,46.500000,0.480115,1.306925
5.000000,46.600000,0.479461,1.310989
5.000000,46.700000,0.478810,1.315053
5.000000,46.800000,0.478161,1.319118
5.000000,46.900000,0.477514,1.323182
5.000000,47.000000,0.476868,1.327246
5.000000,47.100000,0.476225,1.331309
5.000000,47.200000,0.475584,1.335373
5.000000,47.300000,0.474945,1.339437
5.000000,47.400000,0.474307,1.343500
5.000000,47.500000,0.473672,1.347564
5.000000,47.600000,0.473039,1.351628
5.000000,47.700000,0.472407,1.355692
5.000000,47.800000,0.471778,1.359755
5.000000,47.900000,0.471150,1.363819
5.000000,48.000000,0.470525,1.367883
5.000000,48.100000,0.469901,1.371948
5.000000,48.200000,0.469279,1.376012
5.000000,48.300000,0.468660,1.380077
5.000000,48.400000,0.468042,1.384141
5.000000,48.500000,0.467425,1.388206
5.000000,48.600000,0.466811,1.392272
5.000000,48.700000,0.466199,1.396337
5.000000,48.800000,0.465588,1.400403
5.000000,48.900000,0.464980,1.404470
5.000000,49.000000,0.464373,1.408536
5.000000,49.100000,0.463768,1.412603
5.000000,49.200000,0.463164,1.416671
5.000000,49.300000,0.462563,1.420739
5.000000,49.400000,0.461963,1.424807
5.000000,49.500000,0.461365,1.428876
5.000000,49.600000,0.460769,1.432945
5.000000,49.700000,0.460175,1.437015
5.000000,49.800000,0.459582,1.441085
5.000000,49.900000,0.458992,1.445156
5.000000,50.000000,0.458402,1.449228
5.000000,50.100000,0.457815,1.453300
5.000000,50.200000,0.457229,1.457373
5.000000,50.300000,0.456645,1.461446
5.000000,50.400000,0.456063,1.465520
5.000000,50.500000,0.455483,1.469595
5.000000,50.600000,0.454904,1.473671
5.000000,50.700000,0.454327,1.477747
5.000000,50.800000,0.453751,1.481824
5.000000,50.900000,0.453177,1.485902
5.000000,51.000000,0.452605,1.489980
5.000000,51.100000,0.452035,1.494060
5.000000,51.200000,0.451466,1.498140
5.000000,51.300000,0.450899,1.502221
5.000000,51.400000,0.450333,1.506304
5.000000,51.500000,0.449769,1.510387
5.000000,51.600000,0.449206,1.514471
5.000000,51.700000,0.448646,1.518555
5.000000,51.800000,0.448086,1.522641
5.000000,51.900000,0.447529,1.526728
5.000000,52.000000,0.446973,1.530816
5.000000,52.100000,0.446418,1.534905
5.000000,52.200000,0.445865,1.538995
5.000000,52.300000,0.445314,1.543086
5.000000,52.400000,0.444764,1.547178
5.000000,52.500000,0.444216,1.551272
5.000000,52.600000,0.443669,1.555366
5.000000,52.700000,0.443124,1.559462
5.000000,52.800000,0.442580,1.563559
5.000000,52.900000,0.442038,1.567657
5.000000,53.000000,0.441497,1.571756
5.000000,53.100000,0.440958,1.575856
5.000000,53.200000,0.440420,1.579958
5.000000,53.300000,0.439884,1.584061
5.000000,53.400000,0.439349,1.588165
5.000000,53.500000,0.438816,1.592271
5.000000,53.600000,0.438284,1.596378
5.000000,53.700000,0.437754,1.600486
5.000000,53.800000,0.437225,1.604596
5.000000,53.900000,0.436697,1.608707
5.000000,54.000000,0.436171,1.612820
5.000000,54.100000,0.435647,1.616934
5.000000,54.200000,0.435124,1.621049
5.000000,54.300000,0.434602,1.625166
5.000000,54.400000,0.434081,1.629285
5.000000,54.500000,0.433562,1.633405
5.000000,54.600000,0.433045,1.637526
5.000000,54.700000,0.432529,1.641649
5.000000,54.800000,0.432014,1.645774
5.000000,54.900000,0.431500,1.649900
5.000000,55.000000,0.430988,1.654028
5.000000,55.100000,0.430478,1.658157
5.000000,55.200000,0.429968,1.662288
5.000000,55.300000,0.429460,1.666421
5.000000,55.400000,0.428954,1.670555
5.000000,55.500000,0.428448,1.674692
5.000000,55.600000,0.427944,1.678829
5.000000,55.700000,0.427442,1.682969
5.000000,55.800000,0.426940,1.687110
5.000000,55.900000,0.426440,1.691254
5.000000,56.000000,0.425942,1.695398
5.000000,56.100000,0.425444,1.699545
5.000000,56.200000,0.424948,1.703694
5.000000,56.300000,0.424453,1.707844
5.000000,56.400000,0.423960,1.711997
5.000000,56.500000,0.423468,1.716151
5.000000,56.600000,0.422977,1.720307
5.000000,56.700000,0.422487,1.724465
5.000000,56.800000,0.421999,1.728625
5.000000,56.900000,0.421511,1.732787
5.000000,57.000000,0.421025,1.736951
5.000000,57.100000,0.420541,1.741117
5.000000,57.200000,0.420057,1.745285
5.000000,57.300000,0.419575,1.749455
5.000000,57.400000,0.419094,1.753627
5.000000,57.500000,0.418614,1.757801
5.000000,57.600000,0.418136,1.761978
5.000000,57.700000,0.417659,1.766156
5.000000,57.800000,0.417182,1.770336
5.000000,57.900000,0.416708,1.774519
5.000000,58.000000,0.416234,1.778704
5.000000,58.100000,0.415761,1.782891
5.000000,58.200000,0.415290,1.787080
5.000000,58.300000,0.414820,1.791271
5.000000,58.400000,0.414351,1.795465
5.000000,58.500000,0.413883,1.799661
5.000000,58.600000,0.413417,1.803859
5.000000,58.700000,0.412951,1.808059
5.000000,58.800000,0.412487,1.812262
5.000000,58.900000,0.412024,1.816467
5.000000,59.000000,0.411562,1.820674
5.000000,59.100000,0.411101,1.824884
5.000000,59.200000,0.410641,1.829096
5.000000,59.300000,0.410182,1.833311
5.000000,59.400000,0.409725,1.837528
5.000000,59.500000,0.409269,1.841747
5.000000,59.600000,0.408813,1.845969
5.000000,59.700000,0.408359,1.850193
5.000000,59.800000,0.407906,1.854420
5.000000,59.900000,0.407454,1.858649
5.000000,60.000000,0.407004,1.862881
5.000000,60.100000,0.406554,1.867115
5.000000,60.200000,0.406105,1.871352
5.000000,60.300000,0.405658,1.875591
5.000000,60.400000,0.405211,1.879833
5.000000,60.500000,0.404766,1.884078
5.000000,60.600000,0.404322,1.888325
5.000000,60.700000,0.403879,1.892575
5.000000,60.800000,0.403436,1.896828
5.000000,60.900000,0.402995,1.901083
5.000000,61.000000,0.402555,1.905341
5.000000,61.100000,0.402116,1.909601
5.000000,61.200000,0.401678,1.913864
5.000000,61.300000,0.401241,1.918130
5.000000,61.400000,0.400806,1.922399
5.000000,61.500000,0.400371,1.926671
5.000000,61.600000,0.399937,1.930945
5.000000,61.700000,0.399504,1.935222
5.000000,61.800000,0.399072,1.939502
5.000000,61.900000,0.398642,1.943785
5.000000,62.000000,0.398212,1.948071
5.000000,62.100000,0.397783,1.952359
5.000000,62.200000,0.397356,1.956651
5.000000,62.300000,0.396929,1.960945
5.000000,62.400000,0.396503,1.965243
5.000000,62.500000,0.396078,1.969543
5.000000,62.600000,0.395655,1.973846
5.000000,62.700000,0.395232,1.978152
5.000000,62.800000,0.394810,1.982462
5.000000,62.900000,0.394389,1.986774
5.000000,63.000000,0.393970,1.991089
5.000000,63.100000,0.393551,1.995407
5.000000,63.200000,0.393133,1.999729
5.000000,63.300000,0.392716,2.004053
5.000000,63.400000,0.392300,2.008381
5.000000,63.500000,0.391885,2.012711
5.000000,63.600000,0.391471,2.017045
5.000000,63.700000,0.391058,2.021382
5.000000,63.800000,0.390645,2.025722
5.000000,63.900000,0.390234,2.030065
5.000000,64.000000,0.389824,2.034412
5.000000,64.100000,0.389414,2.038762
5.000000,64.200000,0.389006,2.043115
5.000000,64.300000,0.388598,2.047471
5.000000,64.400000,0.388192,2.051830
5.000000,64.500000,0.387786,2.056193
5.000000,64.600000,0.387381,2.060559
5.000000,64.700000,0.386977,2.064929
5.000000,64.800000,0.386575,2.069301
5.000000,64.900000,0.386172,2.073677
5.000000,65.000000,0.385771,2.078057
5.000000,65.100000,0.385371,2.082440
5.000000,65.200000,0.384972,2.086826
5.000000,65.300000,0.384573,2.091216
5.000000,65.400000,0.384175,2.095609
5.000000,65.500000,0.383779,2.100005
5.000000,65.600000,0.383383,2.104405
5.000000,65.700000,0.382988,2.108809
5.000000,65.800000,0.382594,2.113216
5.000000,65.900000,0.382201,2.117626
5.000000,66.000000,0.381808,2.122041
5.000000,66.100000,0.381417,2.126458
5.000000,66.200000,0.381026,2.130880
5.000000,66.300000,0.380636,2.135304
5.000000,66.400000,0.380247,2.139733
5.000000,66.500000,0.379859,2.144165
5.000000,66.600000,0.379472,2.148601
5.000000,66.700000,0.379085,2.153040
5.000000,66.800000,0.378700,2.157483
5.000000,66.900000,0.378315,2.161930
5.000000,67.000000,0.377931,2.166380
5.000000,67.100000,0.377548,2.170835
5.000000,67.200000,0.377166,2.175293
5.000000,67.300000,0.376784,2.179754
5.000000,67.400000,0.376404,2.184220
5.000000,67.500000,0.376024,2.188689
5.000000,67.600000,0.375645,2.193162
5.000000,67.700000,0.375267,2.197639
5.000000,67.800000,0.374889,2.202120
5.000000,67.900000,0.374513,2.206605
5.000000,68.000000,0.374137,2.211093
5.000000,68.100000,0.373762,2.215586
5.000000,68.200000,0.373388,2.220082
5.000000,68.300000,0.373014,2.224582
5.000000,68.400000,0.372642,2.229087
5.000000,68.500000,0.372270,2.233595
5.000000,68.600000,0.371899,2.238107
5.000000,68.700000,0.371529,2.242623
5.000000,68.800000,0.371159,2.247144
5.000000,68.900000,0.370790,2.251668
5.000000,69.000000,0.370422,2.256196
5.000000,69.100000,0.370055,2.260729
5.000000,69.200000,0.369689,2.265265
5.000000,69.300000,0.369323,2.269806
5.000000,69.400000,0.368958,2.274350
5.000000,69.500000,0.368594,2.278899
5.000000,69.600000,0.368231,2.283452
5.000000,69.700000,0.367868,2.288010
5.000000,69.800000,0.367506,2.292571
5.000000,69.900000,0.367145,2.297137
5.000000,70.000000,0.366785,2.301707
5.000000,70.100000,0.366425,2.306281
5.000000,70.200000,0.366067,2.310859
5.000000,70.300000,0.365708,2.315442
5.000000,70.400000,0.365351,2.320029
5.000000,70.500000,0.364994,2.324620
5.000000,70.600000,0.364638,2.329216
5.000000,70.700000,0.364283,2.333816
